deviceid,Time,value,device_type,home_id
domxem-C7F92D,2023-05-08 00:00:00+00:00,59.63273755656108,1.0,82.0
domxem-C7F92D,2023-05-08 01:00:00+00:00,49.19087145969499,1.0,82.0
domxem-C7F92D,2023-05-08 02:00:00+00:00,60.56790931989924,1.0,82.0
domxem-C7F92D,2023-05-08 03:00:00+00:00,49.72084705882353,1.0,82.0
domxem-C7F92D,2023-05-08 04:00:00+00:00,54.102657342657345,1.0,82.0
domxem-C7F92D,2023-05-08 05:00:00+00:00,54.579,1.0,82.0
domxem-C7F92D,2023-05-08 06:00:00+00:00,48.29959100204499,1.0,82.0
domxem-C7F92D,2023-05-08 07:00:00+00:00,65.05305239179954,1.0,82.0
domxem-C7F92D,2023-05-08 08:00:00+00:00,50.43269724770642,1.0,82.0
domxem-C7F92D,2023-05-08 09:00:00+00:00,60.330215311004785,1.0,82.0
domxem-C7F92D,2023-05-08 10:00:00+00:00,52.61273137697517,1.0,82.0
domxem-C7F92D,2023-05-08 11:00:00+00:00,54.49427685950413,1.0,82.0
domxem-C7F92D,2023-05-08 12:00:00+00:00,62.57632054176072,1.0,82.0
domxem-C7F92D,2023-05-08 13:00:00+00:00,49.565537190082644,1.0,82.0
domxem-C7F92D,2023-05-08 14:00:00+00:00,63.90484234234234,1.0,82.0
domxem-C7F92D,2023-05-08 15:00:00+00:00,51.737380952380946,1.0,82.0
domxem-C7F92D,2023-05-08 16:00:00+00:00,55.58072124756335,1.0,82.0
domxem-C7F92D,2023-05-08 17:00:00+00:00,51.36220994475138,1.0,82.0
domxem-C7F92D,2023-05-08 18:00:00+00:00,47.330047505938246,1.0,82.0
domxem-C7F92D,2023-05-08 19:00:00+00:00,63.757213114754094,1.0,82.0
domxem-C7F92D,2023-05-08 20:00:00+00:00,47.82370689655173,1.0,82.0
domxem-C7F92D,2023-05-08 21:00:00+00:00,58.04571428571429,1.0,82.0
domxem-C7F92D,2023-05-08 22:00:00+00:00,53.17230769230769,1.0,82.0
domxem-C7F92D,2023-05-08 23:00:00+00:00,52.86817102137767,1.0,82.0
domxem-C7FCB5,2023-05-08 00:00:00+00:00,144.72892739273928,1.0,81.0
domxem-C7FCB5,2023-05-08 01:00:00+00:00,101.0910447761194,1.0,81.0
domxem-C7FCB5,2023-05-08 02:00:00+00:00,68.04738372093023,1.0,81.0
domxem-C7FCB5,2023-05-08 03:00:00+00:00,98.6982191780822,1.0,81.0
domxem-C7FCB5,2023-05-08 04:00:00+00:00,67.78580924855491,1.0,81.0
domxem-C7FCB5,2023-05-08 05:00:00+00:00,64.37274869109947,1.0,81.0
domxem-C7FCB5,2023-05-08 06:00:00+00:00,383.00658894645943,1.0,81.0
domxem-C7FCB5,2023-05-08 07:00:00+00:00,226.74459759481962,1.0,81.0
domxem-C7FCB5,2023-05-08 08:00:00+00:00,191.12042518837458,1.0,81.0
domxem-C7FCB5,2023-05-08 09:00:00+00:00,93.74665509259259,1.0,81.0
domxem-C7FCB5,2023-05-08 10:00:00+00:00,61.495521276595746,1.0,81.0
domxem-C7FCB5,2023-05-08 11:00:00+00:00,104.25717557251909,1.0,81.0
domxem-C7FCB5,2023-05-08 12:00:00+00:00,93.14175490196078,1.0,81.0
domxem-C7FCB5,2023-05-08 13:00:00+00:00,484.7546692607004,1.0,81.0
domxem-C7FCB5,2023-05-08 14:00:00+00:00,153.42461382113822,1.0,81.0
domxem-C7FCB5,2023-05-08 15:00:00+00:00,128.14001699235342,1.0,81.0
domxem-C7FCB5,2023-05-08 16:00:00+00:00,216.02407114624503,1.0,81.0
domxem-C7FCB5,2023-05-08 17:00:00+00:00,98.03636363636363,1.0,81.0
domxem-C7FCB5,2023-05-08 18:00:00+00:00,121.99651933701657,1.0,81.0
domxem-C7FCB5,2023-05-08 19:00:00+00:00,161.7856914893617,1.0,81.0
domxem-C7FCB5,2023-05-08 20:00:00+00:00,190.34102564102562,1.0,81.0
domxem-C7FCB5,2023-05-08 21:00:00+00:00,167.2846875,1.0,81.0
domxem-C7FCB5,2023-05-08 22:00:00+00:00,226.5774827586207,1.0,81.0
domxem-C7FCB5,2023-05-08 23:00:00+00:00,128.87470869912212,1.0,81.0
domxem3-3494546ED134,2023-05-08 00:00:00+00:00,110.70988095238096,2.0,199.0
domxem3-3494546ED134,2023-05-08 01:00:00+00:00,129.67125,2.0,199.0
domxem3-3494546ED134,2023-05-08 02:00:00+00:00,131.65201183431952,2.0,199.0
domxem3-3494546ED134,2023-05-08 03:00:00+00:00,114.39969512195123,2.0,199.0
domxem3-3494546ED134,2023-05-08 04:00:00+00:00,139.65067656765677,2.0,199.0
domxem3-3494546ED134,2023-05-08 05:00:00+00:00,80.86549348230912,2.0,199.0
domxem3-3494546ED134,2023-05-08 06:00:00+00:00,106.18266666666666,2.0,199.0
domxem3-3494546ED134,2023-05-08 07:00:00+00:00,104.79377450980392,2.0,199.0
domxem3-3494546ED134,2023-05-08 08:00:00+00:00,417.6931433506045,2.0,199.0
domxem3-3494546ED134,2023-05-08 09:00:00+00:00,576.070252764613,2.0,199.0
domxem3-3494546ED134,2023-05-08 10:00:00+00:00,464.11294835680746,2.0,199.0
domxem3-3494546ED134,2023-05-08 11:00:00+00:00,197.28567460317458,2.0,199.0
domxem3-3494546ED134,2023-05-08 12:00:00+00:00,264.7650406504065,2.0,199.0
domxem3-3494546ED134,2023-05-08 13:00:00+00:00,324.9104964539007,2.0,199.0
domxem3-3494546ED134,2023-05-08 14:00:00+00:00,233.07916666666665,2.0,199.0
domxem3-3494546ED134,2023-05-08 15:00:00+00:00,43.17301587301588,2.0,199.0
domxem3-3494546ED134,2023-05-08 16:00:00+00:00,47.545680473372784,2.0,199.0
domxem3-3494546ED134,2023-05-08 17:00:00+00:00,131.87604490500863,2.0,199.0
